question_image,correct_answer,explanation
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-17.png,C,"<p>For first triangle,</p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-10.png,D,<p>(2 x 2 - 1) = <b>3</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-37.png,B,<p>(2)<sup>2</sup> + (4)<sup>2</sup> = <b>20</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-35.png,B,<p>(7 x 3) = <b>21</b> and (9 x 3) = <b>27</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-21.png,B,<p>(16 + 13) = (14 + 15)</p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-33.png,D,<p>(3 x 4) + 3 = <b>15</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-58.png,A,<p>(15 - 12) + (10 - 9) = <b>4</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-51.png,D,"<p><img src=""https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-51a.png""></p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-9.png,D,<p>(5 + 4 + 7)/2 = <b>8</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-45.png,C,<p>(12 + 18 + 30)/10 = <b>6</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-26.png,C,<p>(5 x 3) + 4 = <b>19</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-50.png,A,"<p>(<b>15</b> x 2 - 3) = 27,</p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-47.png,C,"<p>All numbers are cubed,</p>"
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-23.png,B,<p>(4 + 9 + 2) = (3 + 5 + 7) = (8 + 1 + <b>6</b>)</p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-25.png,B,<p>(15 + 12)/9 = <b>3</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-13.png,B,<p>9 + (2)<sup>2</sup> = <b>13</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-7.png,C,<p>(30 - 24) x 8 = <b>48</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-44.png,B,<p>(915 - 364) = <b>551</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-48.png,C,<p>(4 x <b>8</b>) + 1 = 33</p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-53.png,B,<p>(2)<sup>2</sup> + (4)<sup>2</sup> = <b>20</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-15.png,B,<p>3 x 5 x 4 = <b>60</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-11.png,C,<p>(4 x 7) % 4 = <b>7</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-43.png,A,<p>(2)<sup>2</sup> = <b>4</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-16.png,B,<p>(10 + 9 + 14 + 7)/2 = <b>20</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-49.png,D,<p>(5 x 6) + 2 = <b>32</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-31.png,A,<p>(5 + 3)/2 = <b>4</b></p>
,,
https://www.indiabix.com//_files/images/verbal-reasoning/character-puzzles/4-20-1-60.png,D,<p>(1)<sup>2</sup> + (5)<sup>2</sup> + (4)<sup>2</sup> + (3)<sup>2</sup> = 51 x 10 = <b>510</b></p>
